name,sequence,file,vol_min,vol_max,vol_mod,pitch_min,pitch_max,dist_min,dist_max,channel,type,probability,loop,masterslave,loadspec,subtitle,compression,secondaryaliasname,volumefalloffcurve,startdelay,speakermap,reverb,lfe percentage,center percentage,platform,envelop_min,envelop_max,envelop percentage,conversion

#M1 Garand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

weap_m1garand_fire_plr,,WAW/wpn_m1garand_st_f.wav,0.72,0.79,wpnplyr,0.8,0.9,500000,,local,,,,0.85,,,weap_m1garand_fire_plr_act,,weapon2
weap_m1garand_fire_plr_act,,WAW/wpn_m1garand_st_f.wav,0.72,0.79,wpnplyr,0.8,0.9,500000,,local,,,,0.85,,,,,weapon2
weap_m1garand_lastshot_plr,,WAW/wpn_m1garand_st_f.wav,0.72,0.79,wpnplyr,0.8,0.9,500000,,local,,,,0.85,,,weap_m1garand_lastshot_plr_act,,weapon2
weap_m1garand_lastshot_plr_act,,WAW/wpn_m1garand_st_f.wav,0.72,0.79,wpnplyr,0.8,0.9,500000,,local,,,,0.85,,,weap_m1garand_clip_plr,,weapon2
weap_m1garand_clip_plr,,WAW/wpn_m1garand_clip.wav,0.72,0.79,wpnplyr,0.8,0.9,500000,,local,,,,0.85,,,,,weapon2
weap_m1garand_fire,,WAW/wpn_m1garand_mn.wav,1,1,wpnai,1,1,35,2000,weapon,,,,0.8,all_mp,,,,weapon4
weap_m1garand_lastshot,,WAW/wpn_m1garand_mn.wav,1,1,wpnai,1,1,35,2000,weapon,,,,0.8,all_mp,,,,weapon4
weap_m1garand_fire_plr_act_sil,,WAW/wpn_m1garand_st_act_c.wav,0.72,0.79,wpnplyr,0.8,0.9,500000,,local,,,,0.85,,,,,weapon2
weap_m1garand_lastshot_plr_act_sil,,WAW/wpn_m1garand_st_act_c.wav,0.72,0.79,wpnplyr,0.8,0.9,500000,,local,,,,0.85,,,,,weapon2

gr_m1gar_breech_close,,WAW/m1gar_breech_close.wav,1,1,,1,1,7,500,reload,,,,0.7,all_mp,,,,weapon2,50
gr_m1gar_clip_in,,WAW/m1gar_clip_in.wav,1,1,,1,1,7,500,reload,,,,0.7,all_mp,,,,weapon2,50
gr_m1gar_clip_out,,WAW/m1gar_clip_out.wav,1,1,,1,1,7,500,reload,,,,0.7,all_mp,,,,weapon2,50
gr_m1gar_pull_slide,,WAW/m1gar_pull_slide.wav,1,1,,1,1,7,500,reload,,,,0.7,all_mp,,,,weapon2,50
gr_m1gar_breech_close_plr,,WAW/m1gar_breech_close.wav,1,1,,1,1,7,500,reload,,,,0.7,all_mp,,,,weapon2,50
gr_m1gar_clip_in_plr,,WAW/m1gar_clip_in.wav,1,1,,1,1,7,500,reload,,,,0.7,all_mp,,,,weapon2,50
gr_m1gar_clip_out_plr,,WAW/m1gar_clip_out.wav,1,1,,1,1,7,500,reload,,,,0.7,all_mp,,,,weapon2,50
gr_m1gar_pull_slide_plr,,WAW/m1gar_pull_slide.wav,1,1,,1,1,7,500,reload,,,,0.7,all_mp,,,,weapon2,50

#Kar 98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

#weap_kar98k_fire_plr,,WAW/wpn_kar98_st_f.wav,0.72,0.79,wpnplyr,0.8,0.9,500000,,local,,,,0.85,,,weap_kar98k_fire_plr_act,,weapon2
weap_kar98k_fire_plr_act,,WAW/wpn_kar98_st_act.wav,0.72,0.79,wpnplyr,0.8,0.9,500000,,local,,,,0.85,,,,,weapon2

#weap_kar98k_fire,,WAW/mono_01.wav,1,1,wpnai,1,1,35,2000,weapon,,,,0.8,all_mp,,,weap_kar98k_fire_act,weapon4
weap_kar98k_fire_act,,WAW/act_00.wav,1,1,wpnai,1,1,35,2000,weapon,,,,0.8,all_mp,,,,weapon4

