name,sequence,file,vol_min,vol_max,vol_mod,pitch_min,pitch_max,dist_min,dist_max,channel,type,probability,loop,masterslave,loadspec,subtitle,compression,secondaryaliasname,volumefalloffcurve,startdelay,speakermap,reverb,lfe percentage,center percentage,platform,envelop_min,envelop_max,envelop percentage,conversion


weap_hb_lift_plr,,weps/bo2_mp5/fly_smg_futz.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
weap_hb_stock_plr,,weps/bo2_mp5/fly_metalstorm_spin.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,


weap_hb_clipout_plr,,weps/bo2_ar_sounds/weap_assault_mag_out.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
weap_hb_clipin_plr,,weps/bo2_ar_sounds/weap_assault_mag_in.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,

weap_hb_chamber_plr,,weps/bo2_ar_sounds/fly_assault_charge.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,


weap_bo2_ar_fire_silenced2_plr,,weps/bo2_ar_sounds/silenced/silenced_04.wav,0.9,1,max,1,1,5000,,local,,,,0.85,,,,,weapon2,,,,
weap_bo2_ar_fire_silenced2_npc,,weps/bo2_ar_sounds/silenced/silenced_04.wav,0.8,1,wpnai,1,1,35,13780,weapon,,,,0.7,all_mp,,,,weapon4
weap_bo2_ar_fire_silenced2_npc,,weps/bo2_ar_sounds/silenced/silenced_04.wav,0.90,0.95,max,1,1.1,35,10600,weapon,,,,0.7,!ac130 all_mp,,,,weapon4
