name,sequence,file,vol_min,vol_max,vol_mod,pitch_min,pitch_max,dist_min,dist_max,channel,type,probability,loop,masterslave,loadspec,subtitle,compression,secondaryaliasname,volumefalloffcurve,startdelay,speakermap,reverb,lfe percentage,center percentage,platform,envelop_min,envelop_max,envelop percentage,conversion

#Black Ops - Famas
#Fire Sounds
weap_famas_fire_plr,,weapons/famas/famas_fire.wav,0.72,0.79,wpnplyr,0.8,0.9,500000,,local,,,,0.85,,,,,weapon2
weap_famas_fire_npc,,weapons/famas/famas_fire.wav,0.76,0.82,wpnai,0.95,1.05,35,8400,weapon,,,,0.7,!ac130 all_mp,,,,weapon4
weap_famas_fire_npc,,weapons/famas/famas_fire.wav,0.76,0.82,wpnai,0.95,1.05,35,10920,weapon,,,,0.7,all_mp,,,,weapon4
weap_famas_silenced_fire_plr,,weapons/famas/famas_fire_silenced.wav,0.5,0.55,wpnplyr,0.93,1.03,500000,,local,,,,0.85,,,,,weapon2
weap_famas_silenced_fire_npc,,weapons/famas/famas_fire_silenced.wav,0.66,0.72,wpnai,0.8,0.9,35,8400,weapon,,,,0.7,!ac130 all_mp,,,,weapon4
weap_famas_silenced_fire_npc,,weapons/famas/famas_fire_silenced.wav,0.56,0.62,wpnai,0.8,0.9,35,2000,weapon,,,,0.7,all_mp,,,,weapon4
#Reloading Sounds
weap_famas_clip_out_plr,,weapons/famas/famas_clipout.wav,0.55,0.6,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
weap_famas_clip_in_plr,,weapons/famas/famas_clipin.wav,0.55,0.6,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
weap_famas_rechamber_plr,,weapons/famas/famas_chamber.wav,0.55,0.6,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
